KNUMBER	APPLICANT	CONTACT	STREET1	STREET2	CITY	STATE	COUNTRY_CODE	ZIP	POSTAL_CODE	DATERECEIVED	DECISIONDATE	DECISION	REVIEWADVISECOMM	PRODUCTCODE	STATEORSUMM	CLASSADVISECOMM	SSPINDICATOR	TYPE	THIRDPARTY	EXPEDITEDREVIEW	DEVICENAME
DEN240077	"Mureva Phototherapy, Inc."	Vedang  Kothari	8300 Dow Circle	Suite 500	Strongsville	OH	US	44136	44136	12/23/2024	11/26/2025	DENG	DE	SGQ		DE		Direct	N		MuReva OM™
K242503	Eurosets Srl	Katia  Vescovini	"Strada Statale 12, N°143"		Medolla		IT	41036	41036	08/22/2024	11/24/2025	SESE	CV	DTZ	Summary	CV		Traditional	N		Trilly Pediatric Oxygenator with Integrated Arterial Filter (US5232)
K242603	Medacta International SA	Baj  Stefano	Strada Regina		Castel San Pietro		CH	CH 6874	CH 6874	08/30/2024	11/19/2025	SESE	OR	PBF	Summary	OR		Traditional	N		MyPAO SA guides
K242606	"Integrated Endoscopy, Inc."	Albert  Rego	16 Technology Dr. Suite 165		Irvine	CA	US	92618	92618	08/30/2024	11/20/2025	SESE	SU	GCJ	Summary	GU		Traditional	N		Nuvis® Wireless HD Camera System (Nuvis-2K)
K242976	"Medical Wire & Equipment Company (Bath), Ltd."	Shedden  Douglas	Unit 29 Potley Lane		Corsham		GB	SN13 9RT	SN13 9RT	09/26/2024	11/26/2025	SESE	MI	JSM	Summary	MI		Traditional	N		Medical Wire Fecal Transwab Liquid Cary Blair Medium Collection and Transport Device
K243131	Sigma Biomedical	Jorge  Millan	"490 Sawgrass Corporate Pkwy., Suite 130"		Sunrise	FL	US	33325	33325	09/30/2024	11/07/2025	SESE	NE	NUH	Summary	NE		Traditional	N		Triathlon Pro
K243438	"Huinno Co., Ltd."	Kang  Yongwan	"3f, 4f, 5f, 19, Apgujeong-Ro 79-Gil, Gangnam-Gu"		Seoul		KR	6011	6011	11/06/2024	12/05/2025	SESE	CV	DXH	Summary	CV		Traditional	N		MEMO Patch M (MPT-E08R-UNC01)
K243715	Synthes GmbH	Thomas  Shea	Luzernstrasse 21		Zuchwil		CH	4528	4528	12/02/2024	11/12/2025	SESE	NE	GXN	Summary	NE		Traditional	N		Synthes Patient Specific Implants
K243753	"Roche Molecular Systems, Inc."	Khushvanreep  Singh	4300 Hacienda Dr.		Pleasanton	CA	US	94588	94588	12/05/2024	11/20/2025	SESE	MI	OZZ	Summary	MI		Dual Track	N		cobas liat Bordetella panel nucleic acid test
K243897	"Ethicon, Inc."	Anju  Malhotra	1000 Us-202		Raritan	NJ	US	8869	8869	12/19/2024	11/12/2025	SESE	SU	NEW	Summary	SU		Traditional	N		PDS™ Plus Antibacterial (Polydioxanone) Sterile Synthetic Absorbable Surgical Suture
K243981	"Carre Technologies, Inc."	Jean-François  Roy	"5800 St. Denis, Suite 601"		Montreal		CA	H2S 3L5	H2S 3L5	12/23/2024	11/18/2025	SESE	CV	DXH	Summary	CV		Traditional	N		Hexoskin Medical System (7100-00016)
DEN250015	"Fusmobile, Inc."	Ron  Aginsky	6120 Windward Pkwy.	Suite 210	Alpharetta	GA	US	30005	30005	04/25/2025	11/14/2025	DENG	NE	SGN		NE		Direct	N		Neurolyser XR (NXR100)
K250241	"Siemens Medical Solutions USA, Inc."	Patricia D. Jones	40 Liberty Blvd.		Malvern	PA	US	19355	19355	01/27/2025	11/04/2025	SESE	RA	OWB	Summary	RA		Traditional	N		Cios Select
K250264	"Bench7, Inc."	John  Persson	929 Parkview Dr.		Bismarck	ND	US	58501	58501	01/29/2025	11/07/2025	SESE	RA	MYN	Summary	RA		Traditional	N		SugarBug (1.x)
K250330	Pie Medical Imaging BV	Annemiek  Bouts	Philipsweg 1		Maastricht		NL	6227 AJ	6227 AJ	02/05/2025	11/03/2025	SESE	RA	QIH	Summary	RA		Traditional	N		3mensio Workstation
K250363	"Beijing Sinovation Medical Technology Co., Ltd."	Lina  Wang	"Rm. 218, 2nd Floor, Bldg. 1, # 1, Hangfeng Rd."	Fengtai District	Beijing		CN	100070	100070	02/10/2025	11/05/2025	SESE	NE	GZL	Summary	NE		Traditional	N		Depth Electrode (RSDE-08);  Depth Electrode (RSDE-10);  Depth Electrode (RSDE-12);  Depth Electrode (RSDE-14);  Depth Electrode (RSDE-16);  Depth Electrode (RSDE-16F);  Depth Electrode (RSDE-08S);  Depth Electrode (RSDE-10S);  Depth Electrode (RSDE-12S);  Depth Electrode (RSDE-14S);  Depth Electrode (RSDE-16S);  Depth Electrode (RSDE-16G);  Depth Electrode (RSDE-18);  Depth Electrode (RSDE-18F);  Depth Electrode (RSDE-18T);  Depth Electrode (RSDE-20);  Depth Electrode (RSDE-20F);  Dept
K250375	Waldemar Link GmbH & CO KG	Pia  Müller	Barkhausenweg 10		Hamburg		DE	22339	22339	02/10/2025	11/05/2025	SESE	OR	MEH	Summary	OR		Traditional	N		Allure Hip Stem and Intramedullary Plugs
K250376	"Viatherm Therapeutics, LLC"	Maria  Fattore	209 4th Ave.		Pittsburgh	PA	US	15222	15222	02/10/2025	11/05/2025	SESE	PM	IMJ	Summary	PM		Traditional	N		ViVY
K250392	"Zap Surgical Systems, Inc."	Junyi  Wang	590 Taylor Way		San Carlos	CA	US	94070	94070	02/12/2025	11/03/2025	SESE	RA	IYE	Summary	RA		Traditional	N		ZAP-X Radiosurgery System (ZAP-X)
K250423	Medical Bees GmbH	Laura  Sperle	Friedrich-Woehler-Strasse 13		Emmingen-Liptingen		DE	78576	78576	02/14/2025	11/06/2025	SESE	NE	HBL	Summary	NE		Traditional	N		mb-FIX Cranial Stabilization Systems
K250471	"Fresenius Medical Care Renal Therapies Group, LLC"	Greg  Calder	920 Winter St.		Waltham	MA	US	2451	2451	02/18/2025	11/14/2025	SESE	GU	FIP	Summary	GU		Traditional	N		AquaC UNO H
K250501	This AG	Mr. Kai  Kremnitzer	Widnauerstrasse 1		Heerbrugg		CH	9435	9435	02/20/2025	11/14/2025	SESE	OP	HQC	Summary	OP		Traditional	N		System Sophi
K250512	"Neo Modulus (Suzhou) Medical Sci-Tech Co., Ltd."	Jade  Guo	"Rm. 301,302, Bldg. 11, # 8 Jinfeng Rd.,"	Suzhou New District	Suzhou		CN	215163	215163	02/21/2025	12/05/2025	SESE	DE	NPL	Summary	DE		Traditional	N		Augmented Gingival Matrix
