id	person	company	product
DEN240077	Vedang  Kothari	"Mureva Phototherapy, Inc."	MuReva OM™
K242503	Katia  Vescovini	Eurosets Srl	Trilly Pediatric Oxygenator with Integrated Arterial Filter (US5232)
K242603	Baj  Stefano	Medacta International SA	MyPAO SA guides
K242606	Albert  Rego	"Integrated Endoscopy, Inc."	Nuvis® Wireless HD Camera System (Nuvis-2K)
K242976	Shedden  Douglas	"Medical Wire & Equipment Company (Bath), Ltd."	Medical Wire Fecal Transwab Liquid Cary Blair Medium Collection and Transport Device
K243131	Jorge  Millan	Sigma Biomedical	Triathlon Pro
K243438	Kang  Yongwan	"Huinno Co., Ltd."	MEMO Patch M (MPT-E08R-UNC01)
K243715	Thomas  Shea	Synthes GmbH	Synthes Patient Specific Implants
K243753	Khushvanreep  Singh	"Roche Molecular Systems, Inc."	cobas liat Bordetella panel nucleic acid test
K243897	Anju  Malhotra	"Ethicon, Inc."	PDS™ Plus Antibacterial (Polydioxanone) Sterile Synthetic Absorbable Surgical Suture
K243981	Jean-François  Roy	"Carre Technologies, Inc."	Hexoskin Medical System (7100-00016)
DEN250015	Ron  Aginsky	"Fusmobile, Inc."	Neurolyser XR (NXR100)
K250241	Patricia D. Jones	"Siemens Medical Solutions USA, Inc."	Cios Select
K250264	John  Persson	"Bench7, Inc."	SugarBug (1.x)
K250330	Annemiek  Bouts	Pie Medical Imaging BV	3mensio Workstation
K250363	Lina  Wang	"Beijing Sinovation Medical Technology Co., Ltd."	Depth Electrode (RSDE-08);  Depth Electrode (RSDE-10);  Depth Electrode (RSDE-12);  Depth Electrode (RSDE-14);  Depth Electrode (RSDE-16);  Depth Electrode (RSDE-16F);  Depth Electrode (RSDE-08S);  Depth Electrode (RSDE-10S);  Depth Electrode (RSDE-12S);  Depth Electrode (RSDE-14S);  Depth Electrode (RSDE-16S);  Depth Electrode (RSDE-16G);  Depth Electrode (RSDE-18);  Depth Electrode (RSDE-18F);  Depth Electrode (RSDE-18T);  Depth Electrode (RSDE-20);  Depth Electrode (RSDE-20F);  Dept
K250375	Pia  Müller	Waldemar Link GmbH & CO KG	Allure Hip Stem and Intramedullary Plugs
K250376	Maria  Fattore	"Viatherm Therapeutics, LLC"	ViVY
K250392	Junyi  Wang	"Zap Surgical Systems, Inc."	ZAP-X Radiosurgery System (ZAP-X)
K250423	Laura  Sperle	Medical Bees GmbH	mb-FIX Cranial Stabilization Systems
